date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:08:26	22/22	---M--	200	added ('OK')	text/plain	date:Mon,%2016%20Dec%202019%2019:38:27%20GMT	https://www.kickresume.com/robots.txt		(from )
01:08:26	4906/4906	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202019%2019:38:27%20GMT	https://www.kickresume.com/cv/shivamtiwari93/	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/www.kickresume.com/cv/shivamtiwari93/index.html	(from )
01:08:27	6475/6475	---M--	200	added ('OK')	image/png	etag:%225b334667-194b%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-57x57.68c9b9fc16a5.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-57x57.68c9b9fc16a5.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:27	6657/6657	---M--	200	added ('OK')	image/png	etag:%225b334667-1a01%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-60x60.6882fca43706.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-60x60.6882fca43706.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:28	7380/7380	---M--	200	added ('OK')	image/png	etag:%225b334667-1cd4%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-72x72.488cb6b05da8.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-72x72.488cb6b05da8.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:28	7726/7726	---M--	200	added ('OK')	image/png	etag:%225b334667-1e2e%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-76x76.63c3c834c810.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-76x76.63c3c834c810.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:28	10315/10315	---M--	200	added ('OK')	image/png	etag:%225b334667-284b%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-114x114.20fa52c3ac8c.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-114x114.20fa52c3ac8c.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:28	10603/10603	---M--	200	added ('OK')	image/png	etag:%225b334667-296b%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-120x120.b4d5d3110a3d.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-120x120.b4d5d3110a3d.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:28	12370/12370	---M--	200	added ('OK')	image/png	etag:%225b334667-3052%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-144x144.f8499cb96f96.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-144x144.f8499cb96f96.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:29	13007/13007	---M--	200	added ('OK')	image/png	etag:%225b334667-32cf%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-152x152.53e239bf400c.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-152x152.53e239bf400c.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:29	15009/15009	---M--	200	added ('OK')	image/png	etag:%225b334667-3aa1%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-180x180.16c15886523c.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/apple-icon-180x180.16c15886523c.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:29	16166/16166	---M--	200	added ('OK')	image/png	etag:%225b334667-3f26%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/android-icon-192x192.54e58a5d175d.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/android-icon-192x192.54e58a5d175d.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:29	4872/4872	---M--	200	added ('OK')	image/png	etag:%225b334667-1308%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/favicon-32x32.364133c93271.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/favicon-32x32.364133c93271.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:29	8997/8997	---M--	200	added ('OK')	image/png	etag:%225b334667-2325%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/favicon-96x96.b719f0fbb1c1.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/favicon-96x96.b719f0fbb1c1.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:30	3732/3732	---M--	200	added ('OK')	image/png	etag:%225b334667-e94%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/favicon-16x16.efb126f168d4.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/favicon-16x16.efb126f168d4.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
01:08:30	12370/12370	---M--	200	added ('OK')	image/png	etag:%225b334667-3052%22	https://d1civoyjepycei.cloudfront.net/static/img/favicon/ms-icon-144x144.2caa514bd78a.png	F:/www.shivamtiwari93.in/shivamtiwari93.github.io/kickResumeData/kickresume/d1civoyjepycei.cloudfront.net/static/img/favicon/ms-icon-144x144.2caa514bd78a.png	(from https://www.kickresume.com/cv/shivamtiwari93/)
